"","Package","LibPath","Version","Priority","Depends","Imports","NeedsCompilation","Built","whereat"
"abind","abind","C:/Users/Ilya/Documents/R/win-library/4.0","1.4-5",NA,"R (>= 1.5.0)","methods, utils","no","4.0.0","CRAN"
"acepack","acepack","C:/Users/Ilya/Documents/R/win-library/4.0","1.4.1",NA,NA,NA,"yes","4.0.0","CRAN"
"ada","ada","C:/Users/Ilya/Documents/R/win-library/4.0","2.0-5",NA,"R(>= 2.10),rpart",NA,"no","4.0.0","CRAN"
"additivityTests","additivityTests","C:/Users/Ilya/Documents/R/win-library/4.0","1.1-4",NA,NA,NA,"no","4.0.0","CRAN"
"AER","AER","C:/Users/Ilya/Documents/R/win-library/4.0","1.2-9",NA,"R (>= 3.0.0), car (>= 2.0-19), lmtest, sandwich (>= 2.4-0),
survival (>= 2.37-5), zoo","stats, Formula (>= 0.2-0)","no","4.0.0","CRAN"
"AGD","AGD","C:/Users/Ilya/Documents/R/win-library/4.0","0.39",NA,"R (>= 2.10.0)","gamlss, gamlss.dist","no","4.0.0","CRAN"
"agricolae","agricolae","C:/Users/Ilya/Documents/R/win-library/4.0","1.3-3",NA,"R (>= 2.10)","klaR, MASS, nlme, cluster, AlgDesign, graphics","no","4.0.0","CRAN"
"ahp","ahp","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.12",NA,"R (>= 3.2.0)","utils, data.tree, yaml, formattable, DiagrammeR","no","4.0.0","CRAN"
"akima","akima","C:/Users/Ilya/Documents/R/win-library/4.0","0.6-2.1",NA,"R (>= 2.0.0)","sp","yes","4.0.0","CRAN"
"AlgDesign","AlgDesign","C:/Users/Ilya/Documents/R/win-library/4.0","1.2.0",NA,NA,NA,"yes","4.0.0","CRAN"
"alphavantager","alphavantager","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.2",NA,"R (>= 3.3.0)","dplyr (>= 0.7.0), glue (>= 1.1.1), httr (>= 1.2.1), jsonlite
(>= 1.5), purrr (>= 0.2.2.2), readr (>= 1.1.1), stringr (>=
1.2.0), tibble (>= 1.3.3), tidyr (>= 0.6.3), timetk (>=
0.1.1.1)","no","4.0.0","CRAN"
