"location","timegroup","value.mean","value.min","value.max"
"Moscow Lab",2016-05-13 00:00:00,78,78,78
"Moscow Lab",2016-05-13 01:00:00,78,78,78
"Moscow Lab",2016-05-13 02:00:00,78,78,78
"Moscow Lab",2016-05-13 03:00:00,73.6666666666667,65,78
"Moscow Lab",2016-05-13 04:00:00,71,64,78
"Moscow Lab",2016-05-13 05:00:00,68.6666666666667,64,78
"Moscow Lab",2016-05-13 06:00:00,68.75,63,76
"Moscow Lab",2016-05-13 07:00:00,70.75,64,78
"Moscow Lab",2016-05-13 08:00:00,71,64,78
"Moscow Lab",2016-05-13 09:00:00,70.5,63,78
"Moscow Lab",2016-05-13 10:00:00,70.5,63,78
"Moscow Lab",2016-05-13 11:00:00,70.5,63,78
"Moscow Lab",2016-05-13 12:00:00,68,63,78
"Moscow Lab",2016-05-13 13:00:00,71,63,79
"Moscow Lab",2016-05-13 14:00:00,71,63,79
"Moscow Lab",2016-05-13 15:00:00,69.75,63,79
"Moscow Lab",2016-05-13 16:00:00,68.3333333333333,63,79
"Moscow Lab",2016-05-13 17:00:00,69.5,62,79
"Moscow Lab",2016-05-13 18:00:00,68,63,78
"Moscow Lab",2016-05-13 19:00:00,70.75,63,79
"Moscow Lab",2016-05-13 20:00:00,73.5,63,84
"Moscow Lab",2016-05-13 21:00:00,70.75,62,79
"Moscow Lab",2016-05-13 22:00:00,70.5,62,79
"Moscow Lab",2016-05-13 23:00:00,67.6666666666667,62,79
"Moscow Lab",2016-05-14 00:00:00,74.6666666666667,62,83
"Moscow Lab",2016-05-14 01:00:00,70.5,62,79
"Moscow Lab",2016-05-14 02:00:00,70,61,79
"Moscow Lab",2016-05-14 03:00:00,70,61,79
"Moscow Lab",2016-05-14 04:00:00,69.25,60,79
"Moscow Lab",2016-05-14 05:00:00,69,60,78
"Moscow Lab",2016-05-14 06:00:00,69.25,60,79
"Moscow Lab",2016-05-14 07:00:00,69,60,78
"Moscow Lab",2016-05-14 08:00:00,69.5,60,79
"Moscow Lab",2016-05-14 09:00:00,69.5,60,79
"Moscow Lab",2016-05-14 10:00:00,69,59,79
"Moscow Lab",2016-05-14 11:00:00,73,59,81
"Moscow Lab",2016-05-14 12:00:00,67.75,59,77
"Moscow Lab",2016-05-14 13:00:00,67.5,58,77
"Moscow Lab",2016-05-14 14:00:00,68,59,77
"Moscow Lab",2016-05-14 15:00:00,67.25,58,77
"Moscow Lab",2016-05-14 16:00:00,67,57,77
"Moscow Lab",2016-05-14 17:00:00,68,58,78
"Moscow Lab",2016-05-14 18:00:00,66,56,76
"Moscow Lab",2016-05-14 19:00:00,67,57,77
"Moscow Lab",2016-05-14 20:00:00,67,57,77
"Moscow Lab",2016-05-14 21:00:00,67.5,57,78
"Moscow Lab",2016-05-14 22:00:00,67.5,57,78
"Moscow Lab",2016-05-14 23:00:00,67,56,78
"Moscow Lab",2016-05-15 00:00:00,66.75,56,78
"Moscow Lab",2016-05-15 01:00:00,65,53,77
"Moscow Lab",2016-05-15 02:00:00,65.5,54,77
"Moscow Lab",2016-05-15 03:00:00,66.25,55,77
"Moscow Lab",2016-05-15 04:00:00,66,55,77
"Moscow Lab",2016-05-15 05:00:00,65.5,54,77
"Moscow Lab",2016-05-15 06:00:00,65.5,54,77
"Moscow Lab",2016-05-15 07:00:00,55,18,84
"Moscow Lab",2016-05-15 08:00:00,73,62,84
"Moscow Lab",2016-05-15 09:00:00,72.25,60,84
"Moscow Lab",2016-05-15 10:00:00,71.25,59,83
"Moscow Lab",2016-05-15 11:00:00,70.25,58,82
"Moscow Lab",2016-05-15 12:00:00,70,58,82
"Moscow Lab",2016-05-15 13:00:00,67.75,57,80
"Moscow Lab",2016-05-15 14:00:00,67.5,56,80
