city;moscow_time;installations
Москва;19.01.2015 0:00;7
Москва;19.01.2015 0:01;10
Москва;19.01.2015 0:02;4
Москва;19.01.2015 0:03;7
Москва;19.01.2015 0:04;12
Москва;19.01.2015 0:05;12
Москва;19.01.2015 0:06;10
Москва;19.01.2015 0:07;6
Москва;19.01.2015 0:08;4
Москва;19.01.2015 0:09;7
Москва;19.01.2015 0:10;15
Москва;19.01.2015 0:11;15
Москва;19.01.2015 0:12;12
Москва;19.01.2015 0:13;7
Москва;19.01.2015 0:14;7
Москва;19.01.2015 0:15;10
Москва;19.01.2015 0:16;7
Москва;19.01.2015 0:17;12
Москва;19.01.2015 0:18;6
Москва;19.01.2015 0:19;3
Москва;19.01.2015 0:20;1
Москва;19.01.2015 0:21;10
Москва;19.01.2015 0:22;3
Москва;19.01.2015 0:23;7
Москва;19.01.2015 0:24;9
Москва;19.01.2015 0:25;7
Москва;19.01.2015 0:26;4
Москва;19.01.2015 0:27;9
Москва;19.01.2015 0:28;4
Москва;19.01.2015 0:29;7
Москва;19.01.2015 0:30;6
Москва;19.01.2015 0:31;9
Москва;19.01.2015 0:32;9
Москва;19.01.2015 0:33;4
Москва;19.01.2015 0:34;7
Москва;19.01.2015 0:35;7
Москва;19.01.2015 0:36;10
Москва;19.01.2015 0:37;9
Москва;19.01.2015 0:38;4
Москва;19.01.2015 0:39;3
Москва;19.01.2015 0:40;3
Москва;19.01.2015 0:41;4
Москва;19.01.2015 0:42;4
Москва;19.01.2015 0:43;12
Москва;19.01.2015 0:44;3
Москва;19.01.2015 0:45;7
Москва;19.01.2015 0:46;4
Москва;19.01.2015 0:47;9
Москва;19.01.2015 0:48;7
Москва;19.01.2015 0:49;7
Москва;19.01.2015 0:50;7
Москва;19.01.2015 0:51;4
Москва;19.01.2015 0:52;9
Москва;19.01.2015 0:53;3
Москва;19.01.2015 0:54;7
Москва;19.01.2015 0:55;7
Москва;19.01.2015 0:56;12
Москва;19.01.2015 0:57;3
Москва;19.01.2015 0:58;12
Москва;19.01.2015 0:59;3
Москва;19.01.2015 1:00;3
Москва;19.01.2015 1:01;3
Москва;19.01.2015 1:02;7
Москва;19.01.2015 1:03;4
Москва;19.01.2015 1:04;9
Москва;19.01.2015 1:05;9
Москва;19.01.2015 1:06;6
Москва;19.01.2015 1:07;3
Москва;19.01.2015 1:08;9
Москва;19.01.2015 1:09;6
Москва;19.01.2015 1:10;1
Москва;19.01.2015 1:11;7
Москва;19.01.2015 1:12;1
Москва;19.01.2015 1:13;1
Москва;19.01.2015 1:14;3
Москва;19.01.2015 1:15;6
Москва;19.01.2015 1:16;10
Москва;19.01.2015 1:17;6
Москва;19.01.2015 1:18;9
Москва;19.01.2015 1:19;4
Москва;19.01.2015 1:20;4
Москва;19.01.2015 1:21;6
Москва;19.01.2015 1:22;3
Москва;19.01.2015 1:23;6
Москва;19.01.2015 1:24;1
Москва;19.01.2015 1:25;4
Москва;19.01.2015 1:26;3
Москва;19.01.2015 1:27;6
Москва;19.01.2015 1:28;6
Москва;19.01.2015 1:29;6
Москва;19.01.2015 1:30;3
Москва;19.01.2015 1:31;6
Москва;19.01.2015 1:32;3
Москва;19.01.2015 1:33;6
Москва;19.01.2015 1:34;4
Москва;19.01.2015 1:35;6
Москва;19.01.2015 1:36;6
Москва;19.01.2015 1:37;4
Москва;19.01.2015 1:38;3
Москва;19.01.2015 1:39;3
Москва;19.01.2015 1:40;6
Москва;19.01.2015 1:41;3
Москва;19.01.2015 1:42;4
Москва;19.01.2015 1:43;7
Москва;19.01.2015 1:44;9
Москва;19.01.2015 1:45;7
Москва;19.01.2015 1:46;6
Москва;19.01.2015 1:47;4
Москва;19.01.2015 1:48;3
Москва;19.01.2015 1:49;3
Москва;19.01.2015 1:50;9
Москва;19.01.2015 1:51;4
Москва;19.01.2015 1:52;7
Москва;19.01.2015 1:53;3
Москва;19.01.2015 1:54;9
Москва;19.01.2015 1:55;3
Москва;19.01.2015 1:56;1
Москва;19.01.2015 1:57;4
Москва;19.01.2015 1:58;4
Москва;19.01.2015 1:59;7
Москва;19.01.2015 2:00;6
Москва;19.01.2015 2:01;4
Москва;19.01.2015 2:02;6
Москва;19.01.2015 2:03;6
Москва;19.01.2015 2:04;3
Москва;19.01.2015 2:05;4
Москва;19.01.2015 2:06;7
Москва;19.01.2015 2:07;3
Москва;19.01.2015 2:08;3
Москва;19.01.2015 2:09;6
Москва;19.01.2015 2:10;4
Москва;19.01.2015 2:11;4
Москва;19.01.2015 2:12;3
Москва;19.01.2015 2:13;1
Москва;19.01.2015 2:14;1
Москва;19.01.2015 2:15;3
Москва;19.01.2015 2:16;4
Москва;19.01.2015 2:17;6
Москва;19.01.2015 2:18;3
Москва;19.01.2015 2:19;7
Москва;19.01.2015 2:20;4
Москва;19.01.2015 2:21;3
Москва;19.01.2015 2:22;6
Москва;19.01.2015 2:23;6
Москва;19.01.2015 2:24;3
Москва;19.01.2015 2:25;3
Москва;19.01.2015 2:26;4
Москва;19.01.2015 2:27;6
Москва;19.01.2015 2:28;3
Москва;19.01.2015 2:29;3
Москва;19.01.2015 2:30;1
Москва;19.01.2015 2:31;1
Москва;19.01.2015 2:32;3
Москва;19.01.2015 2:33;9
Москва;19.01.2015 2:34;3
Москва;19.01.2015 2:35;3
Москва;19.01.2015 2:36;4
Москва;19.01.2015 2:37;3
Москва;19.01.2015 2:38;4
Москва;19.01.2015 2:39;1
Москва;19.01.2015 2:40;3
Москва;19.01.2015 2:41;1
Москва;19.01.2015 2:42;7
Москва;19.01.2015 2:43;1
Москва;19.01.2015 2:44;1
Москва;19.01.2015 2:45;4
Москва;19.01.2015 2:46;6
Москва;19.01.2015 2:47;3
Москва;19.01.2015 2:48;7
Москва;19.01.2015 2:49;6
Москва;19.01.2015 2:50;3
Москва;19.01.2015 2:51;4
Москва;19.01.2015 2:52;6
Москва;19.01.2015 2:53;3
Москва;19.01.2015 2:54;4
Москва;19.01.2015 2:55;3
Москва;19.01.2015 2:56;3
Москва;19.01.2015 2:57;1
Москва;19.01.2015 2:58;3
Москва;19.01.2015 2:59;1
Москва;19.01.2015 3:00;3
Москва;19.01.2015 3:01;4
Москва;19.01.2015 3:02;1
Москва;19.01.2015 3:03;4
Москва;19.01.2015 3:04;3
Москва;19.01.2015 3:05;1
Москва;19.01.2015 3:06;1
Москва;19.01.2015 3:07;3
Москва;19.01.2015 3:08;1
Москва;19.01.2015 3:09;3
Москва;19.01.2015 3:10;4
Москва;19.01.2015 3:11;3
Москва;19.01.2015 3:12;1
Москва;19.01.2015 3:13;1
Москва;19.01.2015 3:14;3
Москва;19.01.2015 3:15;1
Москва;19.01.2015 3:16;4
Москва;19.01.2015 3:17;6
Москва;19.01.2015 3:18;1
Москва;19.01.2015 3:19;1
Москва;19.01.2015 3:20;6
Москва;19.01.2015 3:21;4
Москва;19.01.2015 3:22;1
Москва;19.01.2015 3:23;1
Москва;19.01.2015 3:24;3
Москва;19.01.2015 3:25;3
Москва;19.01.2015 3:26;4
Москва;19.01.2015 3:27;4
Москва;19.01.2015 3:28;4
Москва;19.01.2015 3:29;3
Москва;19.01.2015 3:30;4
Москва;19.01.2015 3:31;1
Москва;19.01.2015 3:32;3
Москва;19.01.2015 3:33;1
Москва;19.01.2015 3:34;4
Москва;19.01.2015 3:35;1
Москва;19.01.2015 3:36;1
Москва;19.01.2015 3:37;3
Москва;19.01.2015 3:38;6
Москва;19.01.2015 3:39;4
Москва;19.01.2015 3:40;3
Москва;19.01.2015 3:41;3
Москва;19.01.2015 3:42;3
Москва;19.01.2015 3:43;3
Москва;19.01.2015 3:44;1
Москва;19.01.2015 3:45;1
Москва;19.01.2015 3:46;3
Москва;19.01.2015 3:47;3
Москва;19.01.2015 3:48;3
Москва;19.01.2015 3:49;3
Москва;19.01.2015 3:50;9
Москва;19.01.2015 3:51;4
Москва;19.01.2015 3:52;1
Москва;19.01.2015 3:53;1
Москва;19.01.2015 3:54;1
Москва;19.01.2015 3:55;3
Москва;19.01.2015 3:56;3
Москва;19.01.2015 3:57;6
Москва;19.01.2015 3:58;1
Москва;19.01.2015 3:59;3
Москва;19.01.2015 4:00;1
Москва;19.01.2015 4:01;3
Москва;19.01.2015 4:02;3
Москва;19.01.2015 4:03;3
Москва;19.01.2015 4:04;3
Москва;19.01.2015 4:05;1
Москва;19.01.2015 4:06;1
