city;local_date;local_time;tv_company;programm;genre;category;clip;clip_ID;place_in_block;selling;clip_duration;All 22-45 BC Reg. TVR;All 22-45 BC Reg. Stand. TVR;All 22-45 BC OTS;All 4+ Reg. TVR;All 4+ Reg. Stand. TVR;All 4+ OTS
Москва;19.01.2015;17:52:51;К19;П78;Ж1;КАТ16;Р1;141;15;Средний;10;0.39;0.13;16;2.17;0.72;303
Москва;19.01.2015;23:27:14;К19;П303;Ж2;КАТ2;Р4;142;6;Средний;10;1.19;0.4;49;2.26;0.75;315
Москва;19.01.2015;10:29:25;К24;П269;Ж2;КАТ1;Р4;142;1;Первый;10;0.13;0.04;5;0.74;0.25;103
Москва;19.01.2015;10:44:48;К24;П269;Ж2;КАТ1;Р5;143;2;Второй;10;0.35;0.12;14;0.99;0.33;139
Москва;19.01.2015;12:44:43;К24;П304;Ж1;КАТ32;Р1;141;1;Первый;10;0.18;0.06;7;0.99;0.33;139
Москва;19.01.2015;12:05:07;К24;П304;Ж1;КАТ32;Р4;142;3;Средний;10;0.13;0.04;5;0.72;0.24;101
Москва;19.01.2015;12:46:34;К24;П304;Ж1;КАТ32;Р5;143;8;Последний;10;0.18;0.06;7;1;0.33;139
Москва;19.01.2015;7:24:22;К24;П186;Ж3;КАТ26;Р5;143;12;Средний;10;0;0;0;0.13;0.04;18
Москва;19.01.2015;8:08:09;К24;П186;Ж3;КАТ26;Р2;145;1;Первый;10;0;0;0;0.29;0.1;41
Москва;19.01.2015;11:50:45;К24;П225;Ж1;КАТ16;Р3;144;1;Первый;10;0.55;0.18;22;0.95;0.32;133
Москва;19.01.2015;21:41:11;К24;П305;Ж5;КАТ4;Р5;143;12;Последний;10;0.57;0.19;24;2.31;0.77;323
Москва;19.01.2015;11:26:06;К24;П306;Ж7;КАТ23;Р2;145;3;Средний;10;0.47;0.16;19;0.89;0.3;124
Москва;19.01.2015;8:43:27;К24;П228;Ж7;КАТ27;Р3;144;3;Средний;10;0;0;0;0.05;0.02;7
Москва;19.01.2015;16:52:24;К24;П307;Ж2;КАТ1;Р1;141;2;Второй;10;0;0;0;0.05;0.02;7
Москва;19.01.2015;23:38:08;К24;П188;Ж2;КАТ12;Р4;142;8;Последний;10;0.42;0.14;17;0.83;0.28;116
Москва;19.01.2015;23:50:54;К24;П188;Ж2;КАТ12;Р5;143;9;Предпоследний;10;0.63;0.21;26;0.76;0.25;106
Москва;19.01.2015;22:54:13;К24;П308;Ж5;КАТ4;Р3;144;4;Средний;10;0.3;0.1;12;2;0.67;280
Москва;19.01.2015;22:41:53;К24;П308;Ж5;КАТ4;Р2;145;3;Средний;10;0.3;0.1;12;1.82;0.61;254
Москва;19.01.2015;18:30:19;К10;П309;Ж3;КАТ21;Р4;142;4;Средний;10;1.49;0.5;61;2.75;0.92;383
Москва;19.01.2015;0:20:21;К10;П310;Ж2;КАТ2;Р5;143;2;Второй;10;1.06;0.35;43;2.63;0.88;366
Москва;19.01.2015;23:07:54;К10;П310;Ж2;КАТ2;Р3;144;4;Средний;10;1.67;0.56;69;2.72;0.91;379
Москва;19.01.2015;0:05:28;К10;П310;Ж2;КАТ2;Р2;145;2;Второй;10;1.16;0.39;47;2.56;0.85;357
Москва;19.01.2015;20:28:49;К10;П192;Ж2;КАТ2;Р1;141;9;Последний;10;1.46;0.49;60;4.05;1.35;565
Москва;19.01.2015;20:26:59;К10;П192;Ж2;КАТ2;Р3;144;1;Первый;10;1.46;0.49;60;4.06;1.35;567
Москва;19.01.2015;12:39:11;К1;П32;Ж1;КАТ16;Р2;145;3;Последний;10;0;0;0;0.05;0.02;7
Москва;19.01.2015;8:56:34;К1;П97;Ж1;КАТ16;Р1;141;15;Средний;10;0;0;0;0.12;0.04;17
Москва;19.01.2015;17:13:35;К1;П34;Ж1;КАТ16;Р3;144;1;Первый;10;0;0;0;0;0;0
Москва;19.01.2015;22:27:14;К1;П36;Ж1;КАТ16;Р5;143;5;Последний;10;0;0;0;0;0;0
Москва;19.01.2015;20:58:58;К1;П176;Ж1;КАТ16;Р4;142;5;Средний;10;0;0;0;0;0;0
Москва;19.01.2015;14:11:22;К21;П311;Ж2;КАТ1;Р1;141;2;Второй;10;1.92;0.64;79;1.16;0.39;161
Москва;19.01.2015;13:51:53;К21;П8;Ж3;КАТ3;Р1;141;5;Средний;10;1.3;0.43;53;0.86;0.29;120
Москва;19.01.2015;18:52:19;К21;П8;Ж3;КАТ3;Р1;141;4;Средний;10;1.14;0.38;47;1.41;0.47;197
Москва;19.01.2015;18:15:06;К21;П8;Ж3;КАТ3;Р4;142;4;Предпоследний;10;1.19;0.4;49;1.12;0.37;156
Москва;19.01.2015;13:41:48;К21;П8;Ж3;КАТ3;Р5;143;4;Средний;10;1.94;0.65;80;0.93;0.31;130
Москва;19.01.2015;18:40:21;К21;П8;Ж3;КАТ3;Р3;144;4;Средний;10;1.46;0.49;60;1.41;0.47;197
Москва;19.01.2015;0:21:14;К21;П8;Ж3;КАТ3;Р3;144;2;Второй;10;1.44;0.43;59;1.38;0.41;193
Москва;19.01.2015;19:04:36;К21;П312;Ж2;КАТ6;Р3;144;3;Средний;10;0.66;0.22;27;1.02;0.34;142
Москва;19.01.2015;23:30:23;К21;П196;Ж2;КАТ2;Р5;143;4;Предпоследний;10;2.55;0.85;104;1.68;0.56;234
Москва;19.01.2015;23:56:59;К21;П196;Ж2;КАТ2;Р5;143;3;Предпоследний;10;2.38;0.79;98;1.6;0.53;223
Москва;19.01.2015;1:50:48;К28;П313;Ж2;КАТ1;Р4;142;1;Первый;10;1.04;0.35;42;0.48;0.16;67
Москва;19.01.2015;16:22:14;К28;П197;Ж2;КАТ2;Р5;143;1;Первый;10;1.41;0.47;58;1.57;0.52;219
Москва;19.01.2015;0:03:18;К15;П232;Ж2;КАТ2;Р4;142;4;Средний;10;0.41;0.14;17;0.49;0.16;69
Москва;19.01.2015;13:06:26;К15;П198;Ж7;КАТ5;Р5;143;3;Средний;10;0.38;0.13;15;0.27;0.09;37
Москва;19.01.2015;14:20:10;К15;П198;Ж7;КАТ5;Р2;145;3;Средний;10;0.17;0.06;7;0.47;0.16;65
Москва;19.01.2015;16:08:10;К15;П199;Ж7;КАТ5;Р1;141;3;Средний;10;0;0;0;0.04;0.01;6
Москва;19.01.2015;20:33:40;К26;П314;Ж2;КАТ2;Р4;142;6;Средний;10;1.46;0.49;60;0.89;0.3;124
Москва;19.01.2015;8:58:27;К18;П315;Ж1;КАТ16;Р1;141;4;Средний;10;0.48;0.16;20;0.72;0.24;101
Москва;19.01.2015;11:27:25;К18;П316;Ж2;КАТ12;Р2;145;3;Предпоследний;10;1.25;0.42;51;1.04;0.35;145
Москва;19.01.2015;19:25:00;К18;П204;Ж1;КАТ42;Р1;141;7;Средний;10;2.26;0.75;93;1.6;0.53;223
Москва;19.01.2015;12:17:10;К18;П259;Ж1;КАТ42;Р3;144;7;Предпоследний;10;0.46;0.15;19;0.71;0.24;99
Москва;19.01.2015;12:51:40;К18;П235;Ж1;КАТ16;Р4;142;1;Первый;10;1.63;0.54;67;1.77;0.59;247
Москва;19.01.2015;12:56:14;К18;П235;Ж1;КАТ16;Р5;143;1;Первый;10;0.8;0.27;33;1.1;0.37;154
Москва;19.01.2015;16:14:45;К18;П247;Ж1;КАТ42;Р2;145;1;Первый;10;0.61;0.2;25;0.69;0.23;96
Москва;19.01.2015;18:37:14;К18;П221;Ж2;КАТ12;Р3;144;1;Первый;10;1.77;0.59;73;1.56;0.52;218
Москва;19.01.2015;7:26:08;К18;П206;Ж3;КАТ20;Р1;141;10;Предпоследний;10;0.25;0.08;10;0.27;0.09;38
Москва;19.01.2015;7:10:52;К18;П206;Ж3;КАТ20;Р5;143;9;Предпоследний;10;0.25;0.08;10;0.25;0.08;35
Москва;19.01.2015;0:33:34;К18;П317;Ж2;КАТ2;Р4;142;1;Первый;10;0.81;0.27;33;0.24;0.08;33
Москва;19.01.2015;15:14:54;К18;П285;Ж3;КАТ3;Р1;141;9;Последний;10;0.7;0.23;29;0.68;0.23;95
Москва;19.01.2015;21:57:59;К9;П12;Ж1;КАТ16;Р5;143;6;Последний;10;0.88;0.29;36;0.36;0.12;50
Москва;19.01.2015;9:57:25;К9;П50;Ж1;КАТ41;Р1;141;8;Последний;10;0.19;0.06;8;0.17;0.06;24
Москва;19.01.2015;14:56:53;К9;П50;Ж1;КАТ41;Р4;142;1;Первый;10;0.4;0.13;16;0.31;0.1;43
Москва;19.01.2015;17:57:36;К9;П50;Ж1;КАТ41;Р3;144;7;Последний;10;0;0;0;0.24;0.08;33
Москва;19.01.2015;20:54:51;К9;П14;Ж5;КАТ44;Р1;141;1;Первый;10;0.59;0.2;24;0.22;0.07;31
Москва;19.01.2015;12:54:24;К9;П75;Ж1;КАТ34;Р5;143;1;Первый;10;0.45;0.15;18;0.25;0.08;35
Москва;19.01.2015;16:53:31;К9;П318;Ж1;КАТ34;Р2;145;1;Первый;10;0.16;0.05;7;0.33;0.11;46
Москва;19.01.2015;6:42:14;К6;П319;Ж6;КАТ46;Р5;143;5;Средний;10;0;0;0;0.05;0.02;7
Москва;19.01.2015;7:24:51;К6;П136;Ж8;КАТ14;Р1;141;6;Средний;10;0.16;0.05;7;0.1;0.03;14
Москва;19.01.2015;1:11:18;К6;П320;Ж8;КАТ10;Р3;144;6;Средний;10;0;0;0;0.19;0.06;27
