city;moscow_time;visits;uniqs;new_uniqs
Москва;19.01.2015 0:00;12;12;6
Москва;19.01.2015 0:01;17;17;7
Москва;19.01.2015 0:02;20;20;10
Москва;19.01.2015 0:03;18;18;9
Москва;19.01.2015 0:04;7;7;4
Москва;19.01.2015 0:05;13;13;6
Москва;19.01.2015 0:06;13;13;4
Москва;19.01.2015 0:07;13;13;6
Москва;19.01.2015 0:08;13;13;9
Москва;19.01.2015 0:09;4;4;2
Москва;19.01.2015 0:10;18;18;9
Москва;19.01.2015 0:11;7;7;4
Москва;19.01.2015 0:12;13;13;8
Москва;19.01.2015 0:13;15;15;4
Москва;19.01.2015 0:14;10;10;5
Москва;19.01.2015 0:15;7;7;4
Москва;19.01.2015 0:16;26;26;6
Москва;19.01.2015 0:17;12;12;4
Москва;19.01.2015 0:18;9;9;3
Москва;19.01.2015 0:19;15;15;5
Москва;19.01.2015 0:20;13;13;6
Москва;19.01.2015 0:21;7;7;4
Москва;19.01.2015 0:22;6;6;3
Москва;19.01.2015 0:23;9;9;3
Москва;19.01.2015 0:24;15;15;3
Москва;19.01.2015 0:25;9;9;6
Москва;19.01.2015 0:26;17;17;2
Москва;19.01.2015 0:27;15;15;6
Москва;19.01.2015 0:28;15;15;6
Москва;19.01.2015 0:29;9;9;2
Москва;19.01.2015 0:30;12;12;6
Москва;19.01.2015 0:31;4;4;3
Москва;19.01.2015 0:32;9;9;5
Москва;19.01.2015 0:33;6;6;3
Москва;19.01.2015 0:34;7;7;5
Москва;19.01.2015 0:35;9;9;5
Москва;19.01.2015 0:36;17;17;5
Москва;19.01.2015 0:37;10;10;3
Москва;19.01.2015 0:38;7;7;2
Москва;19.01.2015 0:39;12;12;5
Москва;19.01.2015 0:40;18;18;6
Москва;19.01.2015 0:41;12;12;6
Москва;19.01.2015 0:42;12;12;5
Москва;19.01.2015 0:43;12;12;6
Москва;19.01.2015 0:44;12;12;6
Москва;19.01.2015 0:45;9;9;3
Москва;19.01.2015 0:46;12;12;5
Москва;19.01.2015 0:47;12;12;5
Москва;19.01.2015 0:48;13;13;6
Москва;19.01.2015 0:49;9;9;5
Москва;19.01.2015 0:50;12;12;5
Москва;19.01.2015 0:51;10;10;2
Москва;19.01.2015 0:52;7;7;3
Москва;19.01.2015 0:53;7;7;3
Москва;19.01.2015 0:54;9;9;3
Москва;19.01.2015 0:55;12;12;3
Москва;19.01.2015 0:56;15;15;7
Москва;19.01.2015 0:57;9;9;4
Москва;19.01.2015 0:58;7;7;2
Москва;19.01.2015 0:59;6;6;4
Москва;19.01.2015 1:00;10;10;5
Москва;19.01.2015 1:01;4;4;2
Москва;19.01.2015 1:02;9;9;4
Москва;19.01.2015 1:03;12;12;7
Москва;19.01.2015 1:04;7;7;3
Москва;19.01.2015 1:05;9;9;5
Москва;19.01.2015 1:06;12;12;4
Москва;19.01.2015 1:07;12;12;6
Москва;19.01.2015 1:08;15;15;9
Москва;19.01.2015 1:09;13;13;5
Москва;19.01.2015 1:10;7;7;4
Москва;19.01.2015 1:11;10;10;4
Москва;19.01.2015 1:12;12;12;6
Москва;19.01.2015 1:13;17;17;8
Москва;19.01.2015 1:14;9;9;4
Москва;19.01.2015 1:15;6;6;3
Москва;19.01.2015 1:16;7;7;4
Москва;19.01.2015 1:17;9;9;4
Москва;19.01.2015 1:18;7;7;4
Москва;19.01.2015 1:19;12;12;4
Москва;19.01.2015 1:20;15;15;8
Москва;19.01.2015 1:21;15;15;7
Москва;19.01.2015 1:22;9;9;5
Москва;19.01.2015 1:23;12;12;5
Москва;19.01.2015 1:24;10;10;5
Москва;19.01.2015 1:25;10;10;6
Москва;19.01.2015 1:26;6;6;4
Москва;19.01.2015 1:27;12;12;4
Москва;19.01.2015 1:28;7;7;4
Москва;19.01.2015 1:29;4;4;2
Москва;19.01.2015 1:30;7;7;3
Москва;19.01.2015 1:31;7;7;2
Москва;19.01.2015 1:32;12;12;6
Москва;19.01.2015 1:33;10;10;5
Москва;19.01.2015 1:34;7;7;1
Москва;19.01.2015 1:35;9;9;5
Москва;19.01.2015 1:36;6;6;3
Москва;19.01.2015 1:37;6;6;3
Москва;19.01.2015 1:38;9;9;3
Москва;19.01.2015 1:39;12;12;3
Москва;19.01.2015 1:40;10;10;6
Москва;19.01.2015 1:41;15;15;7
Москва;19.01.2015 1:42;7;7;3
Москва;19.01.2015 1:43;4;4;3
Москва;19.01.2015 1:44;7;7;3
Москва;19.01.2015 1:45;7;7;3
Москва;19.01.2015 1:46;6;6;2
Москва;19.01.2015 1:47;6;6;3
Москва;19.01.2015 1:48;12;12;8
Москва;19.01.2015 1:49;15;15;8
Москва;19.01.2015 1:50;6;6;3
Москва;19.01.2015 1:51;3;3;2
Москва;19.01.2015 1:52;6;6;2
Москва;19.01.2015 1:53;9;9;6
Москва;19.01.2015 1:54;4;4;3
Москва;19.01.2015 1:55;10;10;5
Москва;19.01.2015 1:56;7;7;5
Москва;19.01.2015 1:57;10;10;7
Москва;19.01.2015 1:58;6;6;3
Москва;19.01.2015 1:59;10;10;6
Москва;19.01.2015 2:00;9;9;5
Москва;19.01.2015 2:01;13;13;6
Москва;19.01.2015 2:02;9;9;4
Москва;19.01.2015 2:03;13;13;5
Москва;19.01.2015 2:04;6;6;3
Москва;19.01.2015 2:05;3;3;1
Москва;19.01.2015 2:06;6;6;3
Москва;19.01.2015 2:07;9;9;4
Москва;19.01.2015 2:08;7;7;3
Москва;19.01.2015 2:09;10;10;4
Москва;19.01.2015 2:10;7;7;5
Москва;19.01.2015 2:11;12;12;5
