"timestamp","delta_time","bandwidth_in","bandwidth_out"
"01/04/2015 00:59:20",3602,0.47049510,0.08908548
"01/04/2015 01:59:22",3602,0.58493638,0.09166846
"01/04/2015 02:59:15",3593,0.72136974,0.09140967
"01/04/2015 03:59:20",3605,0.63153112,0.08661939
"01/04/2015 04:59:20",3600,0.34860873,0.07566546
"01/04/2015 05:59:16",3596,0.38160229,0.08029419
"01/04/2015 06:59:21",3605,0.34781304,0.07798281
"01/04/2015 07:59:15",3594,2.69725800,0.22070904
"01/04/2015 08:59:55",3640,20.78257561,1.07580090
"01/04/2015 09:59:45",3590,21.30025864,2.16757822
"01/04/2015 10:59:10",3565,32.10420609,2.01509881
"01/04/2015 11:59:02",3592,29.32692719,2.30532718
"01/04/2015 12:59:29",3627,17.34571266,1.71311736
"01/04/2015 13:59:06",3577,14.96214771,3.95144796
"01/04/2015 14:59:24",3618,30.53654861,4.65043640
"01/04/2015 15:59:11",3587,21.91090584,2.10176301
"01/04/2015 16:59:40",3629,24.62003708,1.73022306
"01/04/2015 17:59:29",3589,22.63557625,1.87226570
"01/04/2015 18:58:34",3545,12.74214649,1.08431697
"01/04/2015 19:59:22",3648,19.40240097,0.89260465
"01/04/2015 20:59:30",3608,7.14995956,0.33619839
"01/04/2015 21:59:10",3580,4.98355722,0.26126990
"01/04/2015 22:59:12",3602,3.94298458,0.18167698
"01/04/2015 23:58:18",3546,3.00244856,0.15797986
"02/04/2015 00:59:12",3654,0.26584750,0.10668924
"02/04/2015 01:59:15",3603,0.60423863,0.10701603
"02/04/2015 02:58:16",3541,1.13252783,0.12429310
"02/04/2015 03:59:08",3652,0.67354608,0.11752461
"02/04/2015 04:59:11",3603,0.18589357,0.09560128
"02/04/2015 05:58:17",3546,0.31314766,0.09976473
"02/04/2015 06:59:13",3656,1.88724029,0.13032697
"02/04/2015 07:59:15",3602,2.09927106,0.18222012
"02/04/2015 08:58:16",3541,8.27829170,0.50248587
"02/04/2015 09:59:57",3701,19.95576096,1.26841211
"02/04/2015 10:59:59",3602,27.79424858,1.61768579
"02/04/2015 11:59:47",3588,22.04317856,1.61103857
"02/04/2015 12:59:31",3584,26.89909744,2.23313594
"02/04/2015 13:59:12",3581,18.68411446,1.31708419
"02/04/2015 14:59:05",3593,24.41066551,2.06172109
"02/04/2015 15:59:06",3601,31.15815926,8.82449722
"02/04/2015 16:59:06",3600,26.31912994,16.29066658
"02/04/2015 17:59:10",3604,24.70744133,1.86841929
"02/04/2015 18:59:49",3639,20.61991119,1.23555124
"02/04/2015 19:59:19",3570,8.42101955,0.55176848
"02/04/2015 20:59:21",3602,4.97763777,0.27497727
"02/04/2015 21:59:30",3609,3.67144442,0.23337071
"02/04/2015 22:58:39",3549,5.44292021,0.25013644
"02/04/2015 23:59:33",3654,4.63268948,0.23539613
"03/04/2015 00:59:38",3605,2.22138643,0.19819541
"03/04/2015 01:58:49",3551,0.81062621,0.14002320
"03/04/2015 02:59:41",3652,1.02023482,0.11785948
"03/04/2015 03:59:52",3611,0.90247726,0.10980875
"03/04/2015 04:58:53",3541,0.80958599,0.10603490
"03/04/2015 05:59:48",3655,1.99898040,0.13633586
"03/04/2015 06:59:02",3554,2.29524684,0.13198550
"03/04/2015 07:59:07",3605,3.13278413,0.19671169
"03/04/2015 08:59:01",3594,7.13943195,1.52914774
"03/04/2015 09:59:26",3625,23.29038620,5.06677580
"03/04/2015 10:59:37",3611,18.64167786,3.35323119
"03/04/2015 11:58:18",3521,28.34561539,3.05755639
"03/04/2015 12:59:01",3643,32.05025864,2.12661672
"03/04/2015 13:59:06",3605,21.45958328,1.41889298
"03/04/2015 14:59:33",3627,31.91563225,2.08354592
"03/04/2015 15:59:37",3604,36.06260300,2.52342224
"03/04/2015 16:59:42",3605,33.52395248,1.96428943
"03/04/2015 17:59:42",3600,20.37725258,1.77004540
"03/04/2015 18:59:42",3600,25.78083038,1.46619737
"03/04/2015 19:59:48",3606,14.21657848,43.80178070
"03/04/2015 20:59:39",3591,10.86788940,24.11857605
"03/04/2015 21:59:56",3617,6.89943266,0.24154283
"03/04/2015 22:59:03",3547,1.83243239,0.13608864
"03/04/2015 23:59:57",3654,4.52196932,0.33460671
"04/04/2015 00:59:06",3549,2.82657433,0.16754764
"04/04/2015 01:59:09",3603,0.52700275,0.09556588
"04/04/2015 02:59:04",3595,0.60869962,0.12201872
"04/04/2015 03:59:12",3608,0.37453729,0.11465075
"04/04/2015 04:59:16",3604,0.29837486,0.08809672
"04/04/2015 05:59:17",3601,0.32575130,0.09158225
"04/04/2015 06:59:19",3602,0.31008494,0.08346232
"04/04/2015 07:58:25",3546,0.66042417,0.08327768
"04/04/2015 08:59:15",3650,0.71173126,0.08824355
"04/04/2015 09:59:27",3612,0.85601169,0.09800165
"04/04/2015 10:58:33",3546,1.07316625,0.10541713
"04/04/2015 11:59:29",3656,2.06429529,0.14601468
"04/04/2015 12:59:37",3608,1.92946017,0.13360560
"04/04/2015 13:58:43",3546,0.75821197,0.11711025
"04/04/2015 14:59:37",3654,2.31137681,0.13221328
"04/04/2015 15:59:47",3610,2.99069381,0.17240644
"04/04/2015 16:58:52",3545,2.24095201,0.16986716
"04/04/2015 17:59:42",3650,2.45576477,0.17668854
"04/04/2015 18:59:45",3603,4.07251120,1.94006217
"04/04/2015 19:58:49",3544,2.34682512,0.22318403
"04/04/2015 20:59:42",3653,2.15248013,0.18668152
"04/04/2015 21:59:50",3608,5.22467184,0.26913375
