"eHealth Trend Report,""logoRpt"""
Router_Comcor_Gi0/1

","""",""Bits In"",""Bits Out"""
"Sample Time,""Delta Time"","" "","" """
01/04/2015 00:59:20,3602,1694723328.00000000,320885888.00000000
01/04/2015 01:59:22,3602,2106940928.00000000,330189824.00000000
01/04/2015 02:59:15,3593,2591881472.00000000,328434944.00000000
01/04/2015 03:59:20,3605,2276669696.00000000,312262912.00000000
01/04/2015 04:59:20,3600,1254991488.00000000,272395648.00000000
01/04/2015 05:59:16,3596,1372241792.00000000,288737920.00000000
01/04/2015 06:59:21,3605,1253865984.00000000,281128064.00000000
01/04/2015 07:59:15,3594,9693944832.00000000,793228288.00000000
01/04/2015 08:59:55,3640,75648581632.00000000,3915915264.00000000
01/04/2015 09:59:45,3590,76467929088.00000000,7781605376.00000000
01/04/2015 10:59:10,3565,114451488768.00000000,7183826944.00000000
01/04/2015 11:59:02,3592,105342320640.00000000,8280735744.00000000
01/04/2015 12:59:29,3627,62912897024.00000000,6213476352.00000000
01/04/2015 13:59:06,3577,53519601664.00000000,14134329344.00000000
01/04/2015 14:59:24,3618,110481235968.00000000,16825278464.00000000
01/04/2015 15:59:11,3587,78594424832.00000000,7539023872.00000000
01/04/2015 16:59:40,3629,89346113536.00000000,6278979584.00000000
01/04/2015 17:59:29,3589,81239089152.00000000,6719561728.00000000
01/04/2015 18:58:34,3545,45170909184.00000000,3843903488.00000000
01/04/2015 19:59:22,3648,70779961344.00000000,3256221696.00000000
01/04/2015 20:59:30,3608,25797054464.00000000,1213003776.00000000
01/04/2015 21:59:10,3580,17841135616.00000000,935346176.00000000
01/04/2015 22:59:12,3602,14202631168.00000000,654400512.00000000
01/04/2015 23:58:18,3546,10646682624.00000000,560196608.00000000
02/04/2015 00:59:12,3654,971406784.00000000,389842496.00000000
02/04/2015 01:59:15,3603,2177071872.00000000,385578752.00000000
02/04/2015 02:58:16,3541,4010280960.00000000,440121856.00000000
02/04/2015 03:59:08,3652,2459790336.00000000,429199872.00000000
02/04/2015 04:59:11,3603,669774528.00000000,344451392.00000000
02/04/2015 05:58:17,3546,1110421632.00000000,353765760.00000000
02/04/2015 06:59:13,3656,6899750400.00000000,476475392.00000000
02/04/2015 07:59:15,3602,7561574400.00000000,656356864.00000000
02/04/2015 08:58:16,3541,29313431552.00000000,1779302400.00000000
02/04/2015 09:59:57,3701,73856270336.00000000,4694392832.00000000
02/04/2015 10:59:59,3602,100114882560.00000000,5826904064.00000000
02/04/2015 11:59:47,3588,79090925568.00000000,5780406272.00000000
02/04/2015 12:59:31,3584,96406364160.00000000,8003559424.00000000
02/04/2015 13:59:12,3581,66907815936.00000000,4716478464.00000000
02/04/2015 14:59:05,3593,87707525120.00000000,7407763456.00000000
02/04/2015 15:59:06,3601,112200531968.00000000,31777013760.00000000
02/04/2015 16:59:06,3600,94748868608.00000000,58646396928.00000000
02/04/2015 17:59:10,3604,89045614592.00000000,6733783040.00000000
02/04/2015 18:59:49,3639,75035860992.00000000,4496171008.00000000
02/04/2015 19:59:19,3570,30063040512.00000000,1969813504.00000000
02/04/2015 20:59:21,3602,17929451520.00000000,990468096.00000000
02/04/2015 21:59:30,3609,13250243584.00000000,842234880.00000000
02/04/2015 22:58:39,3549,19316924416.00000000,887734272.00000000
02/04/2015 23:59:33,3654,16927848448.00000000,860137472.00000000
03/04/2015 00:59:38,3605,8008098304.00000000,714494464.00000000
03/04/2015 01:58:49,3551,2878533632.00000000,497222400.00000000
03/04/2015 02:59:41,3652,3725897728.00000000,430422784.00000000
03/04/2015 03:59:52,3611,3258845440.00000000,396519424.00000000
03/04/2015 04:58:53,3541,2866743808.00000000,375469568.00000000
03/04/2015 05:59:48,3655,7306273280.00000000,498307584.00000000
03/04/2015 06:59:02,3554,8157307392.00000000,469076480.00000000
03/04/2015 07:59:07,3605,11293686784.00000000,709145600.00000000
03/04/2015 08:59:01,3594,25659119616.00000000,5495756800.00000000
03/04/2015 09:59:26,3625,84427644928.00000000,18367062016.00000000
03/04/2015 10:59:37,3611,67315101696.00000000,12108517376.00000000
03/04/2015 11:58:18,3521,99804913664.00000000,10765656064.00000000
03/04/2015 12:59:01,3643,116759085056.00000000,7747264512.00000000
03/04/2015 13:59:06,3605,77361799168.00000000,5115109376.00000000
03/04/2015 14:59:33,3627,115757998080.00000000,7557021696.00000000
03/04/2015 15:59:37,3604,129969618944.00000000,9094414336.00000000
03/04/2015 16:59:42,3605,120853839872.00000000,7081263104.00000000
03/04/2015 17:59:42,3600,73358106624.00000000,6372163584.00000000
03/04/2015 18:59:42,3600,92810993664.00000000,5278310400.00000000
03/04/2015 19:59:48,3606,51264978944.00000000,157949214720.00000000
03/04/2015 20:59:39,3591,39026589696.00000000,86609805312.00000000
03/04/2015 21:59:56,3617,24955248640.00000000,873660416.00000000
03/04/2015 22:59:03,3547,6499637760.00000000,482706432.00000000
03/04/2015 23:59:57,3654,16523275264.00000000,1222652928.00000000
04/04/2015 00:59:06,3549,10031512576.00000000,594626560.00000000
04/04/2015 01:59:09,3603,1898790912.00000000,344323840.00000000
04/04/2015 02:59:04,3595,2188275200.00000000,438657280.00000000
04/04/2015 03:59:12,3608,1351330560.00000000,413659904.00000000
04/04/2015 04:59:16,3604,1075342976.00000000,317500544.00000000
04/04/2015 05:59:17,3601,1173030400.00000000,329787648.00000000
04/04/2015 06:59:19,3602,1116925952.00000000,300631296.00000000
04/04/2015 07:58:25,3546,2341863936.00000000,295302656.00000000
04/04/2015 08:59:15,3650,2597819136.00000000,322088960.00000000
04/04/2015 09:59:27,3612,3091914240.00000000,353981952.00000000
04/04/2015 10:58:33,3546,3805447424.00000000,373809152.00000000
04/04/2015 11:59:29,3656,7547063808.00000000,533829632.00000000
04/04/2015 12:59:37,3608,6961491968.00000000,482049024.00000000
04/04/2015 13:58:43,3546,2688619520.00000000,415272960.00000000
04/04/2015 14:59:37,3654,8445770240.00000000,483107328.00000000
04/04/2015 15:59:47,3610,10796404736.00000000,622387200.00000000
04/04/2015 16:58:52,3545,7944175104.00000000,602179072.00000000
04/04/2015 17:59:42,3650,8963540992.00000000,644913152.00000000
04/04/2015 18:59:45,3603,14673257472.00000000,6990044160.00000000
04/04/2015 19:58:49,3544,8317148160.00000000,790964224.00000000
04/04/2015 20:59:42,3653,7863009792.00000000,681947648.00000000
04/04/2015 21:59:50,3608,18850615296.00000000,971034624.00000000
04/04/2015 22:58:58,3548,22400243712.00000000,1355505664.00000000
04/04/2015 23:59:50,3652,18567469056.00000000,719599616.00000000
05/04/2015 00:59:23,3573,1668221056.00000000,301964160.00000000
05/04/2015 01:58:28,3545,1808466816.00000000,335676928.00000000
05/04/2015 02:59:25,3657,6036658176.00000000,394438144.00000000
05/04/2015 03:59:31,3606,3460258048.00000000,335945728.00000000
05/04/2015 04:58:35,3544,1721218688.00000000,303355904.00000000
05/04/2015 05:59:28,3653,1770492544.00000000,323477248.00000000
05/04/2015 06:59:42,3614,1322071808.00000000,323811456.00000000
05/04/2015 07:58:45,3543,2769496064.00000000,325122816.00000000
