col_name;col_runame_screen;col_runame_office;col_label;base_field;aggr_ops
unique_stb;"кол-во уник. STB";"кол-во уник. STB";"Кол-во уникальных STB с которых был зафиксирован хотя бы один факт телесмотрения канала";FALSE;""
total_unique_stb;"всего уник. STB";"всего уник. STB";"Общее количество уникальных STB с которых выполнялось телесмотрение хотя бы одного канала";FALSE;""
total_duration;"суммарное время, мин";"суммарное время, мин";"Суммарное время просмотра канала всеми STB";FALSE;""
watch_events;"кол-во просмотров";"кол-во просмотров";"Количество событий телесмотрения канала со всех приставок";FALSE;""
stb_ratio;"% уник. STB";"% уник. STB";"Отношение STB, смотревших данный канал, к общему количеству уникальных STB";FALSE;""
channelName;"канал";"канал";"Название телеканала";FALSE;""
channel_duration;"суммарное время, мин";"суммарное время, мин";"подсказка (channel_duration)";FALSE;""
mean_duration;"ср. время просмотра, мин";"ср. время просмотра, мин";"Среднее время отдельного просмотра канала";FALSE;""
watch_ratio";"% врем. просмотра";"% врем. просмотра";"Отношение времени просмотра канала к общему времени телесмотрения";FALSE;""
duration_per_stb";"ср. время просм. 1 STB за период, мин";"ср. время просм. 1 STB за период, мин";"Среднее время суммарного просмотра канала одной приставкой за выбранный период";FALSE;""
date;"дата";"дата";"подсказка (date)";FALSE;""
timestamp;"время";"время";"подсказка (timestamp)";FALSE;""
timegroup;"группа";"группа";"подсказка (timegroup)";FALSE;""
segment;"сегмент";"сегмент";"подсказка (segment)";FALSE;""
region;"регион";"регион";"Название региона; указанного в настройках STB";TRUE;"count, unique"
serial;"S/N";"S/N";"подсказка (serial)";TRUE;"count, unique"
prefix;"префикс";"префикс";"подсказка (prefix)";TRUE;"count, unique"
duration;"длительность";"длительность";"подсказка (duration)";TRUE;"min, max, mean, sum"
channelId;"канал (ID)";"канал  (ID)";"подсказка (channelId)";TRUE;"count, unique"
programId;"программа (ID)";"программа  (ID)";"подсказка (programId)";TRUE;"count, unique"
