oks_type,oks_code,ossr_code,ssr_chap,est_cost_entry,est_cost,9: Наименование СД,overcost
1001,0001,001,02,12,366874.01,ОСНОВАНИЯ И ФУНДАМЕНТЫ (ОФ),121294.71
1001,0001,001,02,12,92660.15,ОСНОВАНИЯ И ФУНДАМЕНТЫ (ОФ1),30635
1001,0001,001,02,12,50446.8,ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (АС),16678.56
1001,0001,001,02,12,22026.09,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ (ТХ),7282.2
1001,0001,001,02,12,6947.34,СТРОИТЕЛЬНЫЕ РАБОТЫ (ТХ),2296.91
1001,0001,001,02,12,8167.61,ТЕПЛОВЫЕ СЕТИ (строительные работы),2700.35
1001,0001,001,02,12,1510.3,ВОДОПРОВОД ПРОИЗВОДСТВЕННО-ПРОТИВОПОЖАРНЫЙ (В2),499.33
1001,0001,001,02,12,4249.31,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ (В2),1404.89
1001,0001,001,02,12,14767.5,"ТЕРМОСТАБИЛИЗАТОР ТСГ-1 (1 шт) 59,07Х250-гр.4",4882.38
1001,0001,001,02,12,25,"ЗЕМЛЯНЫЕ РАБОТЫ. ТЕРМОСТАБИЛИЗАТОР ТСГ-1 (1 шт) 0,10Х250-гр.4",8.27
1001,0001,001,02,12,5021.25,"СИСТЕМА ГЕТ (1ШТ) 1673,75Х3-гр.4 1872,17Х3-гр.5 (строительные работы)",1660.11
1001,0001,001,02,12,213.6,"ЗЕМЛЯНЫЕ РАБОТЫ. СИСТЕМА ГЕТ (1ШТ) 71,20Х3-гр.4",70.62
1001,0001,001,02,12,69613.92,"СИСТЕМА ВЕТ (1ШТ) 2900,58Х24-гр.4 593,82Х24-гр.5 (строительные работы)",23015.53
1001,0001,001,02,12,74.16,"ЗЕМЛЯНЫЕ РАБОТЫ. СИСТЕМА ВЕТ (1ШТ) 3,09Х24-гр.4",24.52
1001,0001,001,02,12,5633.89,"ТЕПЛОИЗОЛЯЦИОННЫЙ ЭКРАН ТОЛЩИНОЙ 0,1м В УРОВНЕ ПЛАНИРОВКИ (1М3) 18,04Х312,3-гр.4",1862.66
1001,0001,001,02,12,412.24,"ЗЕМЛЯНЫЕ РАБОТЫ. ТЕПЛОИЗОЛЯЦИОННЫЙ ЭКРАН ТОЛЩИНОЙ 0,1м В УРОВНЕ ПЛАНИРОВКИ (1М3) 1,32Х312,3-гр.4",136.29
1001,0001,001,02,12,210,"ДЕФОРМАЦИОННАЯ МАРКА ДМ1 (1 ШТ) 0,35Х600-гр.4",69.43
1001,0001,001,02,12,0.2,"ДЕФОРМАЦИОННАЯ МАРКА ДМ2 (100 ШТ) 0,66Х0,3-гр.4",0.07
1001,0001,001,02,12,213.18,"ДЕФОРМАЦИОННАЯ МАРКА ДМ3 С ЛЮЧКАМИ ЛК В ТПО (100 ШТ) 71,06Х3-гр.4",70.48
1001,0001,001,02,12,1300.5,"ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-1 ГЛУБИНОЙ 20 М (1ШТ) 144,50Х9-гр.4",429.97
1001,0001,001,02,12,36.99,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-1 ГЛУБИНОЙ 20 М (1ШТ) 4,11Х9-гр.4",12.23
1001,0001,001,02,12,6060.6,"ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-2 ГЛУБИНОЙ 20 М (1ШТ) 144,30Х42-гр.4 30,39Х42-гр.5 (строительные работы)",2003.74
1001,0001,001,02,12,172.62,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-2 ГЛУБИНОЙ 20 М (1ШТ) 4,11Х42-гр.4",57.07
1001,0001,001,02,12,399.88,ГЛУБИННЫЙ РЕПЕР (РП) (1 ШТ),132.21
1001,0001,001,02,12,14.48,МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ГЛУБИННЫЙ РЕПЕР (1ШТ),4.79
1001,0001,001,02,12,783.06,"ГРУНТОВАЯ МАРКА ГрМ (1ШТ) 261,02Х3-гр.4",258.89
1001,0001,001,02,12,3.09,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ГРУНТОВАЯ МАРКА ГрМ (1ШТ) 1,03Х3-гр.4",1.02
1001,0001,001,02,12,341.04,"ГИДРОГЕОЛОГИЧЕСКАЯ СКВАЖИНА ГС.8 (1ШТ) 56,84Х6-гр.4",112.75
1001,0001,001,02,12,15.42,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ГИДРОГЕОЛОГИЧЕСКАЯ СКВАЖИНА ГС.8 (1ШТ) 2,57Х6-гр.4",5.1
1001,0001,001,02,12,2563.13,МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ОСНОВАНИЯ И ФУНДАМЕНТЫ (ОФ),847.41
1001,0001,001,02,12,942.41,СИЛОВОЕ ЭЛЕКТРООБОРУДОВАНИЕ (ЭМ) (строительные работы),311.58
1001,0001,001,02,12,252.52,АВТОМАТИЗАЦИИ(АТ) (строительные работы),83.49
1001,0001,002,02,12,53177.17,ОСНОВАНИЯ И ФУНДАМЕНТЫ (ОФ),17581.26
1001,0001,002,02,12,3153.96,ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (КЖ),1042.75
1001,0001,002,02,12,137688.75,ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (АС),45522.21
1001,0001,002,02,12,24401.45,КОНСТРУКЦИИ МЕТАЛЛИЧЕСКИЕ (КМ),8067.53
1001,0001,002,02,12,1179,СТРОИТЕЛЬНЫЕ РАБОТЫ (Т),389.8
1001,0001,002,02,12,7014.27,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ (Т),2319.04
1001,0001,002,02,12,1115.92,ВОДОПРОВОД ПРОИЗВОДСТВЕННО-ПРОТИВОПОЖАРНЫЙ В2 (ВК),368.94
1001,0001,002,02,12,3150.3,КАНАЛИЗАЦИЯ МЕХАНИЧЕСКИ ЗАГРЯЗНЕННЫХ ВОД К4 (ВК),1041.54
1001,0001,002,02,12,308.69,ВОДОПРОВОД ХОЗЯЙСТВЕННО-ПИТЬЕВОЙ В1 (ВК),102.06
1001,0001,002,02,12,45.94,КАНАЛИЗАЦИЯ ПРОИЗВОДСТВЕННАЯ К3 (ВК),15.19
1001,0001,002,02,12,90.04,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ. КАНАЛИЗАЦИЯ ПРОИЗВОДСТВЕННАЯ К3 (ВК),29.77
1001,0001,002,02,12,1451.2,ВЕНТИЛЯЦИЯ (ОВ),479.79
1001,0001,002,02,12,3092,ОТОПЛЕНИЕ (ОВ) (строительные работы),1022.27
1001,0001,002,02,12,546.18,ТЕПЛОСНАБЖЕНИЕ ПРИТОЧНЫХ УСТАНОВОК (ОВ),180.58
1001,0001,002,02,12,11.77,"МОНТАЖ ОБОРУДОВАНИЯ, АРМАТУРЫ И ТРУБОПРОВОДОВ ГАЗОВОГО ПОЖАРОТУШЕНИЯ (ГТ) (строительные работы)",3.89
1001,0001,002,02,12,263.44,ВОДОПРОВОД ПРОИЗВОДСТВЕННО-ПРОТИВОПОЖАРНЫЙ В2 (АПТ) (строительные работы),87.1
1001,0001,002,02,12,55.28,КАНАЛИЗАЦИЯ ПРОИЗВОДСТВЕННАЯ К3 (АПТ),18.28
1001,0001,002,02,12,696.49,ПЕНОПРОВОД В11 (АПТ) (строительные работы),230.27
1001,0001,002,02,12,269.25,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ. ВОДОПРОВОД ПРОИЗВОДСТВЕННО-ПРОТИВОПОЖАРНЫЙ В2 (АПТ),89.02
1001,0001,002,02,12,3.53,ОПОВЕЩЕНИЕ О ПОЖАРЕ (строительные работы),1.17
1001,0001,002,02,12,9,ПОЖАРНАЯ СИГНАЛИЗАЦИЯ (ПС) (строительные работы),2.98
1001,0001,002,02,12,44.87,АВТОМАТИЗИРОВАННАЯ СИСТЕМА ПОЖАРНОЙ БЕЗОПАСНОСТИ (СПБА) (строительные работы),14.83
1001,0001,002,02,12,10.35,ЗАГОТОВКА ГРУНТА. ОСНОВАНИЯ И ФУНДАМЕНТЫ (ОФ),3.42
1001,0001,002,02,12,15922.76,"ТЕРМОСТАБИЛИЗАТОР ТСГ-3 (1 шт) 97,09Х164-гр.4",5264.33
1001,0001,002,02,12,21.32,"ЗЕМЛЯНЫЕ РАБОТЫ. ТЕРМОСТАБИЛИЗАТОР ТСГ-3 (1 шт) 0,13Х164-гр.4",7.05
1001,0001,002,02,12,349.98,"ТЕПЛОИЗОЛЯЦИОННЫЙ ЭКРАН ТОЛЩИНОЙ 0,1м В УРОВНЕ ПЛАНИРОВКИ (1М3) 18,04Х19,4-гр.4",115.71
1001,0001,002,02,12,25.61,"ЗЕМЛЯНЫЕ РАБОТЫ. ТЕПЛОИЗОЛЯЦИОННЫЙ ЭКРАН ТОЛЩИНОЙ 0,1м В УРОВНЕ ПЛАНИРОВКИ (1М3) 1,32Х19,4-гр.4",8.47
1001,0001,002,02,12,14,"ДЕФОРМАЦИОННАЯ МАРКА ДМ1 (1 ШТ) 0,35Х40-гр.4",4.63
1001,0001,002,02,12,578,"ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-1 ГЛУБИНОЙ 20 М (1ШТ) 144,50Х4-гр.4",191.1
1001,0001,002,02,12,16.44,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-1 ГЛУБИНОЙ 20 М (1ШТ) 4,11Х4-гр.4",5.44
1001,0001,002,02,12,1154.4,"ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-2 ГЛУБИНОЙ 20 М (1ШТ) 144,30Х8-гр.4 30,39Х8-гр.5 (строительные работы)",381.66
1001,0001,002,02,12,32.88,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-2 ГЛУБИНОЙ 20 М (1ШТ) 4,11Х8-гр.4",10.87
1001,0001,002,02,12,113.68,"ГИДРОГЕОЛОГИЧЕСКАЯ СКВАЖИНА ГС.8 (1ШТ) 56,84Х2-гр.4",37.58
1001,0001,002,02,12,5.14,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ГИДРОГЕОЛОГИЧЕСКАЯ СКВАЖИНА ГС.8 (1ШТ) 2,57Х2-гр.4",1.7
1001,0001,003,02,12,908.12,ОСНОВАНИЯ И ФУНДАМЕНТЫ (ОФ),300.24
1001,0001,003,02,12,5837.63,ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (АС),1930.02
1001,0001,003,02,12,190.68,СТРОИТЕЛЬНЫЕ РАБОТЫ (Т),63.04
1001,0001,003,02,12,587.89,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ (Т),194.37
1001,0001,003,02,12,107.83,ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-1 ГЛУБИНОЙ 15 М (1ШТ). ОБУСТРОЙСТВО СЕТИ ГЕОТЕХНИЧЕСКОГО МОНИТОРИНГА,35.65
1001,0001,003,02,12,4.11,МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-1 ГЛУБИНОЙ 15 М (1ШТ). ОБУСТРОЙСТВО СЕТИ ГЕОТЕХНИЧЕСКОГО МОНИТОРИНГА,1.36
1001,0001,003,02,12,776.72,"ТЕРМОСТАБИЛИЗАТОР ТСГ-3 (1 шт) 97,09Х8-гр.4",256.8
1001,0001,003,02,12,1.04,"ЗЕМЛЯНЫЕ РАБОТЫ. ТЕРМОСТАБИЛИЗАТОР ТСГ-3 (1 шт) 0,13Х8-гр.4",0.34
1001,0001,003,02,12,0.03,"ДЕФОРМАЦИОННАЯ МАРКА ДМ2 (100 ШТ). ОБУСТРОЙСТВО СЕТИ ГЕОТЕХНИЧЕСКОГО МОНИТОРИНГА 0,66Х0,04-гр.4",0.01
1001,0001,003,02,12,56.84,ГИДРОГЕОЛОГИЧЕСКАЯ СКВАЖИНА ГС.8 (1ШТ). ОБУСТРОЙСТВО СЕТИ ГЕОТЕХНИЧЕСКОГО МОНИТОРИНГА,18.79
1001,0001,003,02,12,2.57,МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ГИДРОГЕОЛОГИЧЕСКАЯ СКВАЖИНА ГС.8 (1ШТ). ОБУСТРОЙСТВО СЕТИ ГЕОТЕХНИЧЕСКОГО МОНИТОРИНГА,0.85
1001,0001,003,02,12,649.44,"ТЕПЛОИЗОЛЯЦИОННЫЙ ЭКРАН ТОЛЩИНОЙ 0,1м В УРОВНЕ ПЛАНИРОВКИ (1М3) 18,04Х36-гр.4",214.72
1001,0001,003,02,12,47.52,"ЗЕМЛЯНЫЕ РАБОТЫ. ТЕПЛОИЗОЛЯЦИОННЫЙ ЭКРАН ТОЛЩИНОЙ 0,1м В УРОВНЕ ПЛАНИРОВКИ (1М3) 1,32Х36-гр.4",15.71
1001,0001,004,02,12,1647.3,ОСНОВАНИЯ И ФУНДАМЕНТЫ (ОФ),544.63
1001,0001,004,02,12,7357.94,ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (АС),2432.66
1001,0001,004,02,12,32.34,ЗАГОТОВКА ГРУНТА. ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (АС),10.69
1001,0001,004,02,12,111.51,СТРОИТЕЛЬНЫЕ РАБОТЫ (Т),36.87
1001,0001,004,02,12,508.19,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ (Т),168.02
1001,0001,004,02,12,294.05,"ТЕПЛОИЗОЛЯЦИОННЫЙ ЭКРАН ТОЛЩИНОЙ 0,1м В УРОВНЕ ПЛАНИРОВКИ (1М3) 18,04Х16,3-гр.4",97.22
1001,0001,004,02,12,21.52,"ЗЕМЛЯНЫЕ РАБОТЫ. ТЕПЛОИЗОЛЯЦИОННЫЙ ЭКРАН ТОЛЩИНОЙ 0,1м В УРОВНЕ ПЛАНИРОВКИ (1М3) 1,32Х16,3-гр.4",7.11
1001,0001,004,02,12,0.03,"ДЕФОРМАЦИОННАЯ МАРКА ДМ2 (100 ШТ) 0,66Х0,04-гр.4",0.01
1001,0001,004,02,12,56.84,ГИДРОГЕОЛОГИЧЕСКАЯ СКВАЖИНА ГС.8 (1ШТ),18.79
1001,0001,004,02,12,2.57,МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ГИДРОГЕОЛОГИЧЕСКАЯ СКВАЖИНА ГС.8 (1ШТ),0.85
1001,0001,004,02,12,107.83,ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-1 ГЛУБИНОЙ 15 М (1ШТ),35.65
1001,0001,004,02,12,4.11,МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-1 ГЛУБИНОЙ 15 М (1ШТ),1.36
1001,0001,004,02,12,1007.44,"ТЕРМОСТАБИЛИЗАТОР ТСГ-2 (1 шт) 71,96Х14-гр.4",333.08
1001,0001,004,02,12,1.68,"ЗЕМЛЯНЫЕ РАБОТЫ. ТЕРМОСТАБИЛИЗАТОР ТСГ-2 (1 шт) 0,12Х14-гр.4",0.56
1001,0001,000,02,12,20398.76,ЭСТАКАДЫ (380 М)(АС1),6744.17
1001,0001,000,02,12,4.48,ЗАГОТОВКА ГРУНТА.ЭСТАКАДЫ (АС1),1.48
1001,0002,001,02,12,599.68,ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (АС),198.26
1001,0002,001,02,12,235.89,ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (Т),77.99
1001,0002,001,02,12,544.37,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ (Т),179.98
1001,0002,002,02,12,299.84,ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (АС),99.13
1001,0002,002,02,12,77.01,АНТИКОРРОЗИЙНОЕ ПОКРЫТИЕ (Т),25.46
1001,0002,002,02,12,316.09,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ (Т),104.5
1001,0002,003,02,12,397.16,ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (АС)(ВЕД.3),131.31
1001,0002,003,02,12,1165.36,ОСНОВАНИЯ И ФУНДАМЕНТЫ (ОФ),385.29
1001,0002,003,02,12,740.76,ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ(АС)(ВЕД.135),244.91
1001,0002,003,02,12,476.83,СТРОИТЕЛЬНЫЕ РАБОТЫ (Т),157.65
1001,0002,003,02,12,357.98,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ (Т),118.35
1001,0001,000,02,12,5096.03,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ (ТХ),1684.83
1001,0001,000,02,12,4749.01,СТРОИТЕЛЬНЫЕ РАБОТЫ (ТХ),1570.1
1001,0001,000,02,12,6395.96,СТРОИТЕЛЬНЫЕ РАБОТЫ (ТК2),2114.61
1001,0001,000,02,12,25876.56,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ (ТК2),8555.23
1001,0001,000,02,12,1439.12,АНТИКОРРОЗИЙНОЕ ПОКРЫТИЕ (Т),475.8
1001,0001,000,02,12,3284.84,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ (Т),1086.02
1001,0001,000,02,12,249811.78,"ЭСТАКАДЫ (АС2) НА ДКС 2В (1,580 КМ)",82591.97
1001,0001,000,02,12,15.89,ЗАГОТОВКА ГРУНТА. ЭСТАКАДЫ (АС2) НА ДКС,5.25
1001,0001,000,02,12,62023.5,"ТЕРМОСТАБИЛИЗАТОР ТСГ-1 (1 шт) 59,07Х1050-гр.4",20506.01
1001,0001,000,02,12,105,"ЗЕМЛЯНЫЕ РАБОТЫ. ТЕРМОСТАБИЛИЗАТОР ТСГ-1 (1 шт) 0,10Х1050-гр.4",34.71
1001,0001,000,02,12,5.41,"ДЕФОРМАЦИОННАЯ МАРКА ДМ2 (100 ШТ) 0,66Х8,2-гр.4",1.79
1001,0001,000,02,12,3881.88,"ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-1 ГЛУБИНОЙ 15 М (1ШТ) 107,83Х36-гр.4",1283.41
1001,0001,000,02,12,147.96,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-1 ГЛУБИНОЙ 15 М (1ШТ) 4,11Х36-гр.4",48.92
1001,0001,000,02,12,722.5,"ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-1 ГЛУБИНОЙ 20 М (1ШТ) 144,50Х5-гр.4",238.87
1001,0001,000,02,12,20.55,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-1 ГЛУБИНОЙ 20 М (1ШТ) 4,11Х5-гр.4",6.79
1001,0001,000,02,12,799.76,"ГЛУБИННЫЙ РЕПЕР (РП) (1 ШТ) 399,88Х2-гр.4",264.41
1001,0001,000,02,12,28.96,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ГЛУБИННЫЙ РЕПЕР (1ШТ) 14,48Х2-гр.4",9.57
1001,0001,000,02,12,783.06,"ГРУНТОВАЯ МАРКА ГрМ (1ШТ) 261,02Х3-гр.4",258.89
1001,0001,000,02,12,3.09,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ГРУНТОВАЯ МАРКА ГрМ (1ШТ) 1,03Х3-гр.4",1.02
1001,0001,000,02,12,397.88,"ГИДРОГЕОЛОГИЧЕСКАЯ СКВАЖИНА ГС.8 (1ШТ) 56,84Х7-гр.4",131.55
1001,0001,000,02,12,17.99,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ГИДРОГЕОЛОГИЧЕСКАЯ СКВАЖИНА ГС.8 (1ШТ) 2,57Х7-гр.4",5.95
1001,0001,000,02,12,536.9,ЭСТАКАДЫ ПОД КОММУНИКАЦИИ (12М)(АС4),177.51
1001,0001,000,02,12,13680.5,СТРОИТЕЛЬНЫЕ РАБОТЫ (ТК1),4523
1001,0001,000,02,12,45275.62,ТЕПЛОИЗОЛЯЦИОННЫЕ РАБОТЫ (ТК1),14968.88
1001,0001,000,02,12,4938.27,"ДОПОЛНИТЕЛЬНЫЕ М/К ПО СУЩЕСТВУЮЩИМ ЭСТАКАДАМ (АС3) (0,810 КМ)",1632.67
1001,0001,000,02,12,112574.53,"ЭСТАКАДЫ (АС2) НА УКПГ (0,690 КМ)",37219.03
1001,0001,000,02,12,6.81,ЗАГОТОВКА ГРУНТА. ЭСТАКАДЫ (АС2) НА УКПГ,2.25
1001,0001,000,02,12,68.67,ТРАНСПОРТИРОВКА ГРУНТА. ЭСТАКАДЫ (АС2) НА УКПГ,22.7
1001,0001,012,03,12,2308.02,ОСНОВАНИЯ И ФУНДАМЕНТЫ (ОФ),763.07
1001,0001,012,03,12,3226.83,ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (АС),1066.84
1001,0001,012,03,12,2463.47,"ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (АС) (ВР №2465, 2465.1)",814.46
1001,0001,012,03,12,10.78,"ЗАГОТОВКА ГРУНТА. ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (АС) (ВР №2465, 2465.1)",3.56
1001,0001,012,03,12,1307.74,СТРОИТЕЛЬНЫЕ РАБОТЫ (ТХВ),432.36
1001,0001,012,03,12,295.86,"ТЕПЛОИЗОЛЯЦИОННЫЙ ЭКРАН ТОЛЩИНОЙ 0,1м В УРОВНЕ ПЛАНИРОВКИ (1М3) 18,04Х16,4-гр.4",97.82
1001,0001,012,03,12,21.65,"ЗЕМЛЯНЫЕ РАБОТЫ. ТЕПЛОИЗОЛЯЦИОННЫЙ ЭКРАН ТОЛЩИНОЙ 0,1м В УРОВНЕ ПЛАНИРОВКИ (1М3) 1,32Х16,4-гр.4",7.16
1001,0001,012,03,12,6.3,"ДЕФОРМАЦИОННАЯ МАРКА ДМ1 (1 ШТ) 0,35Х18-гр.4",2.08
1001,0001,012,03,12,144.3,ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-2 ГЛУБИНОЙ 20 М (1ШТ) (строительные работы),47.71
1001,0001,012,03,12,4.11,МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-2 ГЛУБИНОЙ 20 М (1ШТ),1.36
1001,0001,012,03,12,261.02,ГРУНТОВАЯ МАРКА ГрМ (1ШТ),86.3
1001,0001,012,03,12,1.03,МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ГРУНТОВАЯ МАРКА ГрМ (1ШТ),0.34
1001,0001,012,03,12,227.36,"ГИДРОГЕОЛОГИЧЕСКАЯ СКВАЖИНА ГС.8 (1ШТ) 56,84Х4-гр.4",75.17
1001,0001,012,03,12,10.28,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ГИДРОГЕОЛОГИЧЕСКАЯ СКВАЖИНА ГС.8 (1ШТ) 2,57Х4-гр.4",3.4
1001,0001,012,03,12,1359.26,"ТЕРМОСТАБИЛИЗАТОР ТСГ-3 (1 шт) 97,09Х14-гр.4",449.39
1001,0001,012,03,12,1.82,"ЗЕМЛЯНЫЕ РАБОТЫ. ТЕРМОСТАБИЛИЗАТОР ТСГ-3 (1 шт) 0,13Х14-гр.4",0.6
1001,0001,012,03,12,1727.04,"ТЕРМОСТАБИЛИЗАТОР ТСГ-2 (1 шт) 71,96Х24-гр.4",570.99
1001,0001,012,03,12,2.88,"ЗЕМЛЯНЫЕ РАБОТЫ. ТЕРМОСТАБИЛИЗАТОР ТСГ-2 (1 шт) 0,12Х24-гр.4",0.95
1001,0001,012,03,12,431.32,"ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-2 ГЛУБИНОЙ 15 М (1ШТ) 107,83Х4-гр.4 30,39Х4-гр.5 (строительные работы)",142.6
1001,0001,012,03,12,16.44,"МАТЕРИАЛЫ ПОСТАВКИ ЗАКАЗЧИКА. ТЕРМОМЕТРИЧЕСКАЯ СКВАЖИНА ТС-2 ГЛУБИНОЙ 15 М (1ШТ) 4,11Х4-гр.4",5.44
1001,0001,013,03,12,37220.63,ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (АС),12305.76
1001,0001,013,03,12,40212.75,ОСНОВАНИЯ И ФУНДАМЕНТЫ (ОФ),13295.01
1001,0001,013,03,12,8836.32,ОСНОВАНИЯ И ФУНДАМЕНТЫ (ОФ) (ВР №972),2921.44
1001,0001,013,03,12,45983.12,ОБЩЕСТРОИТЕЛЬНЫЕ РАБОТЫ (КМ),15202.79
1001,0001,013,03,12,2939.55,ВЕНТИЛЯЦИЯ (ОВ),971.86
1001,0001,013,03,12,2617.37,ОТОПЛЕНИЕ (ОВ) (строительные работы),865.35
1001,0001,013,03,12,216.85,ТЕПЛОСНАБЖЕНИЕ ПРИТОЧНЫХ УСТАНОВОК (ОВ),71.69
1001,0001,013,03,12,705.01,ВОДОПРОВОД ПРОИЗВОДСТВЕННО-ПРОТИВОПОЖАРНЫЙ (В2) (строительные работы),233.09
1001,0001,013,03,12,266.94,КАНАЛИЗАЦИЯ БЫТОВАЯ К1,88.25
1001,0001,013,03,12,614.56,ВОДОПРОВОД ХОЗЯЙСТВЕННО-ПИТЬЕВОЙ (В1),203.18
