AnimalID;Sex;SireID;DamID;Breed
1;4;4383;2;3
2;4;0;0;3
3;4;0;0;3
4;4;4383;5;3
5;4;0;0;3
6;4;0;0;3
7;4;4206;8;3
8;4;0;0;3
9;4;0;0;3
10;4;4384;11;3
11;4;0;0;3
12;4;4255;13;1
13;4;0;0;1
14;4;0;0;1
15;4;4386;291;1
16;4;0;0;1
17;4;0;0;1
18;4;4253;19;1
19;4;0;0;1
20;4;0;0;1
21;4;4254;22;1
22;4;0;0;1
23;4;0;0;1
24;4;4246;25;1
25;4;0;0;1
26;4;0;0;1
27;4;4254;28;1
28;4;0;0;1
29;4;4253;30;1
30;4;0;0;1
31;4;0;0;1
32;4;4242;33;1
33;4;0;0;1
34;4;4234;35;1
35;4;0;0;1
36;4;0;0;1
37;4;4253;730;1
38;4;4264;39;2
39;4;0;0;2
40;4;0;0;2
41;4;4272;42;2
42;4;0;0;2
43;4;4274;44;2
44;4;0;0;2
45;4;4317;46;2
46;4;4264;1319;2
47;4;4320;48;2
48;4;0;0;2
49;4;0;0;2
50;4;4315;51;2
51;4;4264;142;2
52;4;0;0;2
53;4;4313;54;2
54;4;0;0;2
55;4;0;0;2
56;4;4297;57;2
57;4;0;0;2
58;4;0;0;2
59;4;4274;60;2
60;4;0;0;2
61;4;0;0;2
62;4;4313;42;2
63;4;4218;10;3
64;4;4205;66;3
65;4;4218;64;3
66;4;4201;1273;3
67;4;4214;7;3
68;4;4216;1;3
69;4;4216;1;3
70;4;4202;1056;3
71;4;4218;70;3
72;4;4218;70;3
73;4;4211;75;3
74;4;4214;73;3
75;4;0;0;3
76;4;4207;79;3
77;4;4218;76;3
78;4;4218;76;3
79;4;4197;91;3
80;4;4202;1056;3
81;4;4216;80;3
82;4;4216;80;3
83;4;4216;1;3
84;4;4216;1;3
85;4;4218;10;3
86;4;4218;64;3
87;4;4214;7;3
88;4;4218;4;3
89;4;4218;4;3
90;4;4218;79;3
91;4;0;0;3
92;4;4218;79;3
93;4;4200;14409;3
94;4;4217;93;3
95;4;0;0;3
96;4;4217;93;3
97;4;4217;93;3
98;4;4309;100;2
99;4;4292;98;2
100;4;0;0;2
101;4;4295;103;2
102;4;4290;101;2
103;4;4264;124;2
104;4;4322;46;2
105;4;4294;104;2
106;4;4324;41;2
107;4;4287;41;2
108;4;4273;110;2
109;4;4284;108;2
110;4;0;0;2
111;4;4322;46;2
112;4;4284;111;2
113;4;4322;115;2
114;4;4291;113;2
115;4;0;0;2
116;4;0;0;2
117;4;4287;45;2
118;4;4287;45;2
119;4;4324;45;2
120;4;4265;122;2
121;4;4287;120;2
122;4;0;0;2
123;4;4287;103;2
124;4;0;0;2
125;4;4287;103;2
126;4;4287;103;2
127;4;4287;103;2
128;4;4311;57;2
129;4;4287;128;2
130;4;4274;60;2
131;4;4280;130;2
132;4;0;0;2
133;4;4280;130;2
134;4;4313;42;2
135;4;4286;134;2
136;4;4286;134;2
137;4;4286;134;2
138;4;4286;134;2
139;4;4286;134;2
140;4;4297;142;2
141;4;4287;140;2
142;4;0;0;2
143;4;4287;38;2
144;4;4294;53;2
145;4;4284;62;2
146;4;4292;98;2
147;4;4373;148;1
148;4;4257;149;1
149;4;0;0;1
150;4;4185;152;1
151;4;4361;150;1
152;4;4233;766;1
153;4;0;0;1
154;4;4239;156;1
155;4;4361;154;1
156;4;0;0;1
157;4;4361;154;1
158;4;4184;160;1
159;4;4336;158;1
160;4;0;0;1
161;4;0;0;1
162;4;4256;164;1
163;4;4363;162;1
164;4;0;0;1
165;4;0;0;1
166;4;4232;168;1
167;4;4245;166;1
168;4;0;0;1
169;4;0;0;1
170;4;4345;166;1
171;4;4345;166;1
172;4;4249;174;1
173;4;4361;172;1
174;4;0;0;1
175;4;4338;177;1
176;4;4363;175;1
177;4;0;0;1
178;4;4363;175;1
179;4;4363;175;1
180;4;4330;152;1
181;4;4365;180;1
182;4;0;0;1
183;4;4365;180;1
184;4;4254;186;1
185;4;4345;184;1
186;4;0;0;1
187;4;4241;1390;1
188;4;4363;187;1
189;4;4248;191;1
190;4;4366;189;1
191;4;0;0;1
192;4;0;0;1
193;4;4256;195;1
194;4;4366;193;1
195;4;0;0;1
196;4;4241;1390;1
197;4;4366;196;1
198;4;4366;196;1
199;4;4366;196;1
200;4;4247;730;1
201;4;4364;200;1
202;4;4254;204;1
203;4;4362;202;1
204;4;0;0;1
205;4;4362;202;1
206;4;4243;209;1
207;4;4364;206;1
208;4;0;0;1
209;4;0;0;1
210;4;4258;212;1
211;4;4362;210;1
212;4;0;0;1
213;4;4342;215;1
214;4;4366;213;1
215;4;4249;149;1
216;4;4246;174;1
217;4;4365;216;1
218;4;4329;208;1
219;4;4335;218;1
220;4;4365;218;1
221;4;4365;222;1
222;4;4248;191;1
223;4;4355;224;1
224;4;4254;226;1
225;4;4338;227;1
226;4;0;0;1
227;4;4256;166;1
228;4;4344;229;1
229;4;4241;231;1
230;4;4358;232;1
231;4;0;0;1
232;4;4253;730;1
233;4;4358;232;1
234;4;4358;232;1
235;4;4357;236;1
236;4;4253;238;1
237;4;4355;18;1
238;4;0;0;1
239;4;4362;240;1
240;4;4340;242;1
241;4;4362;240;1
242;4;0;0;1
243;4;4362;21;1
244;4;4355;224;1
245;4;4278;642;2
246;4;4355;1464;1
247;4;4355;1464;1
248;4;4355;249;1
249;4;4340;251;1
250;4;4360;252;1
251;4;14330;25;1
252;4;4236;253;1
253;4;0;0;1
254;4;4360;1463;1
255;4;4360;1463;1
256;4;4360;1463;1
