"Item","Store","Date","Promo","Qty","Turn_over_VAT"
NA,NA,NA,NA,1565403.865,150987189.35
"Персик Казахстан","Магазин-01",2017-07-22,NA,6.604,1452.76
"Персик Казахстан","Магазин-01",2017-07-23,NA,13.37,2935.31
"Персик Казахстан","Магазин-01",2017-07-24,NA,20.386,4477.89
"Персик Казахстан","Магазин-01",2017-07-25,NA,15.606,3424.86
"Персик Казахстан","Магазин-01",2017-07-26,NA,7.218,1587.9
"Персик Казахстан","Магазин-01",2017-07-27,NA,13.768,2615.29
"Персик Казахстан","Магазин-01",2017-07-28,NA,32.118,6101.27
"Персик Казахстан","Магазин-01",2017-07-29,NA,121.762,23132.1
"Персик Казахстан","Магазин-01",2017-07-30,NA,191.364,36350.98
"Персик Казахстан","Магазин-01",2017-07-31,NA,75.724,14384.58
"Персик Казахстан","Магазин-01",2017-08-01,NA,144.112,23054.08
"Персик Казахстан","Магазин-01",2017-08-02,NA,180.516,28876.4
"Персик Казахстан","Магазин-01",2017-08-03,NA,126.51,20236.78
"Персик Казахстан","Магазин-01",2017-08-04,NA,451.521,45431.21
"Персик Казахстан","Магазин-01",2017-08-05,NA,531.017,53086.67
"Персик Казахстан","Магазин-01",2017-08-06,NA,376.007,37591.09
"Персик Казахстан","Магазин-01",2017-08-07,NA,171.504,17146.64
"Персик Казахстан","Магазин-01",2017-08-08,NA,1123.158,167818.77
"Персик Казахстан","Магазин-01",2017-08-09,NA,259.262,20735.51
"Персик Казахстан","Магазин-01",2017-08-10,NA,228.318,18261.26
"Персик Казахстан","Магазин-02",2017-07-30,NA,9.246,1756.13
"Персик Казахстан","Магазин-02",2017-07-31,NA,4.914,932.99
"Персик Казахстан","Магазин-02",2017-08-01,NA,0.816,130.55
"Персик Казахстан","Магазин-02",2017-08-02,NA,12.77,2041.47
"Персик Казахстан","Магазин-02",2017-08-03,NA,3.378,540.21
"Персик Казахстан","Магазин-02",2017-08-04,NA,18.016,2881.55
"Персик Казахстан","Магазин-02",2017-08-05,NA,3.584,573.4
"Персик Казахстан","Магазин-02",2017-08-09,NA,10.685,2349.82
"Персик Казахстан","Магазин-02",2017-08-10,NA,2.03,446.55
"Персик Казахстан","Магазин-03",2017-07-23,NA,0.404,88.88
"Персик Казахстан","Магазин-03",2017-07-24,NA,1.222,268.84
"Персик Казахстан","Магазин-03",2017-07-25,NA,0.374,82.28
"Персик Казахстан","Магазин-03",2017-07-27,NA,10.161,1930.47
"Персик Казахстан","Магазин-03",2017-07-28,NA,20.662,3924.94
"Персик Казахстан","Магазин-03",2017-07-29,NA,16.062,3051.06
"Персик Казахстан","Магазин-03",2017-07-30,NA,22.914,4352.51
"Персик Казахстан","Магазин-03",2017-07-31,NA,9.95,1890.22
"Персик Казахстан","Магазин-03",2017-08-01,NA,26.606,4256.51
"Персик Казахстан","Магазин-03",2017-08-02,NA,16.844,2694.4
"Персик Казахстан","Магазин-03",2017-08-03,NA,12.29,1965.7
"Персик Казахстан","Магазин-03",2017-08-04,NA,17.09,2733.62
"Персик Казахстан","Магазин-03",2017-08-05,NA,27.614,4417.15
"Персик Казахстан","Магазин-03",2017-08-06,NA,24.222,3873.45
"Персик Казахстан","Магазин-03",2017-08-07,NA,5.158,979.97
"Персик Казахстан","Магазин-03",2017-08-08,NA,5.806,1277.11
"Персик Казахстан","Магазин-03",2017-08-09,NA,5.938,1305.88
"Персик Казахстан","Магазин-03",2017-08-11,NA,19.706,3152.23
"Персик Казахстан","Магазин-03",2017-08-12,NA,1.346,215.35
"Персик Казахстан","Магазин-04",2017-07-28,NA,40.868,7763.61
"Персик Казахстан","Магазин-04",2017-07-29,NA,20.89,3968.71
"Персик Казахстан","Магазин-04",2017-07-30,NA,44.458,8446.3
"Персик Казахстан","Магазин-04",2017-07-31,NA,45.362,8617.98
"Персик Казахстан","Магазин-04",2017-08-01,NA,19.508,3120.22
"Персик Казахстан","Магазин-04",2017-08-02,NA,38.99,6237.24
"Персик Казахстан","Магазин-04",2017-08-03,NA,18.404,2944.03
"Персик Казахстан","Магазин-04",2017-08-04,NA,9.174,1467.25
"Персик Казахстан","Магазин-04",2017-08-05,NA,53.29,8525.78
"Персик Казахстан","Магазин-04",2017-08-06,NA,256.528,41036.07
"Персик Казахстан","Магазин-04",2017-08-07,NA,20.814,3953.56
"Персик Казахстан","Магазин-04",2017-08-08,NA,46.47,3744.39
"Персик Казахстан","Магазин-04",2017-08-09,NA,126.166,10090.21
"Персик Казахстан","Магазин-05",2017-07-28,NA,16.022,3043.91
"Персик Казахстан","Магазин-05",2017-07-29,NA,36.174,6871.48
"Персик Казахстан","Магазин-05",2017-07-30,NA,23.262,4418.37
"Персик Казахстан","Магазин-05",2017-07-31,NA,16.038,3045.31
"Персик Казахстан","Магазин-05",2017-08-01,NA,17.826,2851.41
"Персик Казахстан","Магазин-05",2017-08-02,NA,27.216,4352.26
"Персик Казахстан","Магазин-05",2017-08-03,NA,8.336,1333.37
"Персик Казахстан","Магазин-05",2017-08-04,NA,16.586,2653.48
"Персик Казахстан","Магазин-05",2017-08-05,NA,27.792,4445.85
"Персик Казахстан","Магазин-05",2017-08-06,NA,57.272,9160.34
"Персик Казахстан","Магазин-05",2017-08-07,NA,7.084,1345.9
"Персик Казахстан","Магазин-05",2017-08-08,NA,62.308,3030.94
"Персик Казахстан","Магазин-05",2017-08-12,NA,8.274,1323.76
"Персик Казахстан","Магазин-05",2017-08-13,NA,25.022,1626.47
"Персик Казахстан","Магазин-05",2017-08-14,NA,1.992,39.84
"Персик Казахстан","Магазин-05",2017-08-15,NA,15.636,2500.88
"Персик Казахстан","Магазин-05",2017-08-16,NA,5.15,823.97
"Персик Казахстан","Магазин-06",2017-07-27,NA,13.995,2657.56
"Персик Казахстан","Магазин-06",2017-07-28,NA,21.724,4126.11
"Персик Казахстан","Магазин-06",2017-07-29,NA,14.73,2797.39
"Персик Казахстан","Магазин-06",2017-07-30,NA,14.504,2754.27
"Персик Казахстан","Магазин-06",2017-07-31,NA,14.874,2825.5
"Персик Казахстан","Магазин-06",2017-08-01,NA,30.024,4802.2
"Персик Казахстан","Магазин-06",2017-08-02,NA,74.048,11844
